0 ERROR [main] ants.GebiBot  - Test
104 DEBUG [main] ants.GebiBot  - kante nach rechts
104 DEBUG [main] ants.GebiBot  - kante nach unten
104 DEBUG [main] ants.GebiBot  - kante nach rechts
104 DEBUG [main] ants.GebiBot  - kante nach unten
104 DEBUG [main] ants.GebiBot  - kante nach rechts
104 DEBUG [main] ants.GebiBot  - kante nach unten
105 DEBUG [main] ants.GebiBot  - kante nach rechts
105 DEBUG [main] ants.GebiBot  - kante nach unten
105 DEBUG [main] ants.GebiBot  - kante nach rechts
105 DEBUG [main] ants.GebiBot  - kante nach unten
105 DEBUG [main] ants.GebiBot  - kante nach rechts
105 DEBUG [main] ants.GebiBot  - kante nach unten
105 DEBUG [main] ants.GebiBot  - kante nach rechts
105 DEBUG [main] ants.GebiBot  - kante nach unten
105 DEBUG [main] ants.GebiBot  - kante nach rechts
106 DEBUG [main] ants.GebiBot  - kante nach unten
106 DEBUG [main] ants.GebiBot  - kante nach unten
106 DEBUG [main] ants.GebiBot  - kante nach rechts
106 DEBUG [main] ants.GebiBot  - kante nach unten
106 DEBUG [main] ants.GebiBot  - kante nach rechts
106 DEBUG [main] ants.GebiBot  - kante nach unten
107 DEBUG [main] ants.GebiBot  - kante nach rechts
107 DEBUG [main] ants.GebiBot  - kante nach unten
107 DEBUG [main] ants.GebiBot  - kante nach rechts
107 DEBUG [main] ants.GebiBot  - kante nach unten
107 DEBUG [main] ants.GebiBot  - kante nach rechts
107 DEBUG [main] ants.GebiBot  - kante nach unten
107 DEBUG [main] ants.GebiBot  - kante nach rechts
107 DEBUG [main] ants.GebiBot  - kante nach unten
107 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
108 DEBUG [main] ants.GebiBot  - kante nach unten
108 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
109 DEBUG [main] ants.GebiBot  - kante nach rechts
109 DEBUG [main] ants.GebiBot  - kante nach unten
110 DEBUG [main] ants.GebiBot  - kante nach rechts
110 DEBUG [main] ants.GebiBot  - kante nach unten
110 DEBUG [main] ants.GebiBot  - kante nach rechts
116 DEBUG [main] ants.GebiBot  - kante nach unten
116 DEBUG [main] ants.GebiBot  - kante nach rechts
116 DEBUG [main] ants.GebiBot  - kante nach unten
116 DEBUG [main] ants.GebiBot  - kante nach rechts
116 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
117 DEBUG [main] ants.GebiBot  - kante nach rechts
117 DEBUG [main] ants.GebiBot  - kante nach unten
